fecha;zona1;zona2;zona3;zona4;zona5;zona6
04/13/2017;47.5;42.67;49.25;37.4;37.0;25.25
04/14/2017;34.5;33.33;36.0;30.8;28.5;16.25
04/15/2017;26.75;28.0;31.0;28.8;26.0;16.0
04/16/2017;27.0;25.0;29.0;25.2;23.75;15.0
04/17/2017;50.0;51.33;50.0;41.0;48.5;32.0
04/18/2017;33.5;24.33;37.0;23.0;27.5;17.75
04/19/2017;26.25;20.67;26.5;15.4;17.25;14.25
04/20/2017;27.5;20.0;27.5;16.2;16.0;14.75
04/21/2017;33.25;27.33;33.0;23.4;24.75;18.75
04/22/2017;38.0;30.0;38.75;27.6;29.5;22.0
04/23/2017;53.0;48.33;51.75;37.0;43.0;31.25
04/24/2017;54.25;50.33;58.5;43.6;42.5;37.5
04/25/2017;36.5;40.0;39.0;34.2;30.5;22.25
04/26/2017;25.75;26.0;24.0;19.2;22.75;11.75
04/27/2017;21.5;15.33;25.75;10.4;15.0;9.25
04/28/2017;23.75;19.0;24.75;13.6;17.0;12.0
04/29/2017;33.0;27.67;32.5;23.5;24.5;18.25
04/30/2017;25.0;24.0;22.5;18.75;15.0;11.75
05/01/2017;21.0;18.33;19.75;17.5;17.5;9.75
05/02/2017;35.0;32.67;38.75;32.6;38.0;22.5
05/03/2017;46.75;45.0;50.0;38.8;41.25;30.25
05/04/2017;65.0;58.33;70.25;54.6;54.25;47.0
05/05/2017;33.75;34.67;36.5;30.4;26.75;21.75
05/06/2017;17.25;19.33;17.75;13.6;16.75;8.75
05/07/2017;33.75;27.67;36.5;26.0;28.0;18.25
05/08/2017;41.5;41.67;45.75;36.0;40.25;26.25
05/09/2017;43.5;41.33;45.25;36.6;37.0;24.75
05/10/2017;21.25;23.0;20.5;15.0;14.5;8.75
05/11/2017;24.25;25.33;26.75;20.8;19.25;9.25
05/12/2017;32.0;31.67;32.0;29.0;27.25;14.25
05/13/2017;18.25;16.67;22.0;16.0;19.25;9.25
05/14/2017;25.75;27.0;32.67;21.0;25.75;15.5
05/15/2017;38.25;34.33;42.67;29.4;37.5;23.5
05/16/2017;53.5;41.67;50.0;34.8;44.0;32.0
05/17/2017;36.25;33.67;34.25;26.2;29.5;22.0
05/18/2017;32.5;28.67;26.25;22.0;24.75;14.5
05/19/2017;36.5;33.33;33.33;25.4;31.5;17.5
05/20/2017;44.0;37.67;44.5;27.25;33.75;23.75
05/21/2017;40.25;28.0;46.25;29.4;32.75;23.5
05/22/2017;54.5;57.0;56.75;48.2;52.5;32.5
05/23/2017;33.0;21.67;37.25;16.6;23.75;14.25
05/24/2017;47.5;44.33;46.5;34.2;35.75;25.25
05/25/2017;45.0;44.0;45.25;32.6;37.25;25.0
05/26/2017;44.0;43.0;48.75;33.6;40.5;25.5
05/27/2017;29.25;23.0;30.0;16.2;20.0;17.5
05/28/2017;23.0;18.33;21.5;10.8;13.25;9.75
05/29/2017;24.25;28.33;27.0;20.8;22.5;13.25
05/30/2017;33.25;26.67;31.75;20.6;25.75;16.25
05/31/2017;44.5;39.0;41.75;30.8;33.0;21.5
06/01/2017;44.75;38.67;44.75;30.6;34.5;22.75
