09/12/2017,26.17
09/13/2017,50.35
09/14/2017,48.63
09/15/2017,15.92
09/16/2017,17.92
09/17/2017,31.54
09/18/2017,36.63
09/19/2017,50.67
09/20/2017,56.67
09/21/2017,65.21
09/22/2017,41.58
09/23/2017,39.04
09/24/2017,52.04
09/25/2017,45.42
09/26/2017,39.21
09/27/2017,61.71
09/28/2017,70.58
09/29/2017,67.13
09/30/2017,56.92
10/01/2017,22.57
10/02/2017,41.57
10/03/2017,50.0
10/04/2017,39.75
10/05/2017,70.17
10/06/2017,39.5
10/07/2017,40.5
10/08/2017,56.17
10/09/2017,65.38
10/10/2017,72.75
10/11/2017,89.63
10/12/2017,73.71
10/13/2017,61.17
10/14/2017,64.17
10/15/2017,45.75
10/16/2017,46.83
10/17/2017,48.0
10/18/2017,41.83
10/19/2017,49.26
10/20/2017,49.33
10/21/2017,34.83
10/22/2017,36.29
10/23/2017,60.33
10/24/2017,67.42
10/25/2017,75.5
10/26/2017,84.71
10/27/2017,52.58
10/28/2017,37.54
10/29/2017,37.71
10/30/2017,37.42
10/31/2017,52.04
11/01/2017,47.17
11/02/2017,57.0
11/03/2017,55.04
11/04/2017,37.21
11/05/2017,31.46
11/06/2017,37.17
11/07/2017,66.29
11/08/2017,49.46
11/09/2017,27.13
11/10/2017,53.54
11/11/2017,67.42
11/12/2017,57.17
11/13/2017,42.13
11/14/2017,70.92
11/15/2017,82.79
11/16/2017,96.58
11/17/2017,92.33
11/18/2017,60.88
11/19/2017,64.71
11/20/2017,88.71
11/21/2017,95.5
11/22/2017,87.08
11/23/2017,98.08
11/24/2017,78.38
11/25/2017,53.67
11/26/2017,33.21
11/27/2017,72.17
11/28/2017,78.54
11/29/2017,47.08
11/30/2017,44.83
