fecha;estacion008;estacion047;estacion049;estacion056
01/01/2017;53.0;52.0;41.0;48.0
01/02/2017;64.0;64.0;50.0;57.0
01/03/2017;80.0;79.0;48.0;80.0
01/04/2017;86.0;72.0;50.0;73.0
01/05/2017;80.0;65.0;51.0;70.0
01/06/2017;81.0;60.0;48.0;68.0
01/07/2017;74.0;70.0;50.0;82.0
01/08/2017;78.0;77.0;61.0;82.0
01/09/2017;90.0;82.0;61.0;94.0
01/10/2017;97.0;87.0;67.0;111.0
01/11/2017;74.0;77.0;51.0;108.0
01/12/2017;77.0;55.0;46.0;69.0
01/13/2017;52.0;37.0;31.0;41.0
01/14/2017;63.0;65.0;41.0;79.0
01/15/2017;60.0;50.0;34.0;59.0
01/16/2017;82.0;81.0;57.0;96.0
01/17/2017;54.0;44.0;33.0;60.0
01/18/2017;50.0;39.0;34.0;47.0
01/19/2017;48.0;38.0;31.0;46.0
01/20/2017;44.0;33.0;28.0;42.0
01/21/2017;54.0;39.0;33.0;50.0
01/22/2017;69.0;53.0;52.0;64.0
01/23/2017;67.0;66.0;49.0;74.0
01/24/2017;102.0;94.0;70.0;104.0
01/25/2017;93.0;83.0;72.0;94.0
01/26/2017;87.0;77.0;66.0;84.0
01/27/2017;67.0;52.0;43.0;58.0
01/28/2017;55.0;28.0;23.0;32.0
01/29/2017;51.0;38.0;31.0;45.0
01/30/2017;56.0;37.0;31.0;49.0
01/31/2017;63.0;63.0;42.0;85.0
02/01/2017;71.0;61.0;46.0;73.0
02/02/2017;55.0;37.0;31.0;50.0
02/03/2017;46.0;23.0;24.0;29.0
02/04/2017;28.0;10.0;13.0;10.0
02/05/2017;31.0;9.0;10.0;10.0
02/06/2017;52.0;24.0;21.0;31.0
02/07/2017;56.0;36.0;27.0;50.0
02/08/2017;61.0;49.0;33.0;53.0
02/09/2017;85.0;67.0;60.0;80.0
02/10/2017;73.0;67.0;56.0;80.0
02/11/2017;56.0;48.0;35.0;61.0
02/12/2017;50.0;35.0;27.0;47.0
02/13/2017;48.0;28.0;31.0
02/14/2017;67.0;54.0;40.0;66.0
02/15/2017;63.0;54.0;35.0;72.0
02/16/2017;68.0;59.0;42.0;69.0
02/17/2017;74.0;67.0;47.0;77.0
02/18/2017;79.0;65.0;53.0;72.0
02/19/2017;50.0;40.0;29.0;50.0
02/20/2017;60.0;56.0;34.0;70.0
02/21/2017;72.0;67.0;48.0;75.0
02/22/2017;80.0;81.0;56.0;86.0
02/23/2017;72.0;73.0;51.0;80.0
02/24/2017;64.0;51.0;38.0;55.0
02/25/2017;65.0;48.0;36.0;56.0
02/26/2017;53.0;37.0;30.0;40.0
02/27/2017;45.0;23.0;15.0;21.0
02/28/2017;50.0;24.0;18.0;21.0
03/01/2017;61.0;45.0;31.0;52.0
03/02/2017;71.0;60.0;40.0;67.0
03/03/2017;69.0;44.0;40.0;50.0
03/04/2017;41.0;18.0;13.0;23.0
03/05/2017;42.0;18.0;14.0;17.0
03/06/2017;57.0;26.0;20.0;25.0
03/07/2017;60.0;36.0;24.0;38.0
03/08/2017;97.0;76.0;65.0;77.0
03/09/2017;110.0;80.0;68.0;86.0
03/10/2017;93.0;81.0;59.0;88.0
03/11/2017;77.0;49.0;46.0;51.0
03/12/2017;37.0;24.0;13.0;28.0
03/13/2017;34.0;23.0;13.0;28.0
03/14/2017;51.0;37.0;25.0;53.0
03/15/2017;51.0;35.0;22.0;57.0
03/16/2017;53.0;36.0;25.0;56.0
03/17/2017;63.0;46.0;29.0;75.0
03/18/2017;70.0;59.0;41.0;70.0
03/19/2017;76.0;55.0;42.0;58.0
03/20/2017;52.0;40.0;23.0;38.0
03/21/2017;50.0;25.0;19.0;27.0
03/22/2017;50.0;22.0;17.0;24.0
03/23/2017;52.0;34.0;29.0;41.0
03/24/2017;58.0;46.0;34.0;53.0
03/25/2017;57.0;48.0;37.0;55.0
03/26/2017;36.0;19.0;14.0;39.0
03/27/2017;50.0;26.0;18.0;28.0
03/28/2017;69.0;57.0;34.0;59.0
03/29/2017;79.0;62.0;47.0;70.0
03/30/2017;79.0;50.0;45.0;60.0
03/31/2017;66.0;43.0;28.0;44.0
04/01/2017;44.0;14.0;9.0;15.0
04/02/2017;39.0;23.0;16.0;32.0
04/03/2017;56.0;43.0;26.0;55.0
04/04/2017;71.0;53.0;39.0;62.0
04/05/2017;42.0;26.0;16.0;38.0
04/06/2017;51.0;38.0;21.0;56.0
04/07/2017;54.0;34.0;28.0;55.0
04/08/2017;52.0;34.0;21.0
04/09/2017;44.0;28.0;16.0;58.0
04/10/2017;57.0;42.0;27.0;65.0
04/11/2017;66.0;55.0;36.0;67.0
04/12/2017;71.0;47.0;31.0;58.0
04/13/2017;69.0;44.0;37.0;47.0
04/14/2017;57.0;32.0;25.0;30.0
04/15/2017;47.0;27.0;19.0;31.0
04/16/2017;38.0;26.0;14.0;38.0
04/17/2017;68.0;46.0;36.0;50.0
04/18/2017;49.0;32.0;18.0;49.0
04/19/2017;38.0;21.0;14.0;33.0
04/20/2017;39.0;22.0;12.0;37.0
04/21/2017;45.0;28.0;16.0;43.0
04/22/2017;51.0;34.0;19.0;51.0
04/23/2017;64.0;54.0;32.0;57.0
04/24/2017;72.0;53.0;40.0;69.0
04/25/2017;61.0;35.0;25.0;35.0
04/26/2017;44.0;17.0;11.0;24.0
04/27/2017;38.0;20.0;13.0;32.0
04/28/2017;36.0;19.0;13.0;31.0
04/29/2017;44.0;30.0;20.0;36.0
04/30/2017;40.0;19.0;13.0;18.0
05/01/2017;30.0;18.0;10.0;21.0
05/02/2017;47.0;40.0;23.0;45.0
05/03/2017;61.0;44.0;31.0;64.0
05/04/2017;82.0;65.0;50.0;84.0
05/05/2017;60.0;29.0;20.0;37.0
05/06/2017;39.0;10.0;5.0;17.0
05/07/2017;47.0;35.0;17.0;47.0
05/08/2017;58.0;40.0;23.0;62.0
05/09/2017;67.0;36.0;26.0;52.0
05/10/2017;42.0;12.0;8.0;20.0
05/11/2017;53.0;17.0;13.0;24.0
05/12/2017;54.0;26.0;20.0;28.0
05/13/2017;41.0;16.0;10.0;21.0
05/14/2017;46.0;24.0;28.0
05/15/2017;53.0;39.0;36.0
05/16/2017;68.0;50.0;28.0;54.0
05/17/2017;58.0;29.0;20.0;30.0
05/18/2017;46.0;23.0;17.0;19.0
05/19/2017;52.0;29.0;19.0
05/20/2017;57.0;38.0;22.0;61.0
05/21/2017;56.0;41.0;29.0;59.0
05/22/2017;74.0;48.0;37.0;68.0
05/23/2017;52.0;28.0;16.0;53.0
05/24/2017;65.0;34.0;21.0;66.0
05/25/2017;66.0;33.0;20.0;62.0
05/26/2017;71.0;37.0;23.0;64.0
05/27/2017;45.0;19.0;13.0;43.0
05/28/2017;38.0;13.0;6.0;29.0
05/29/2017;52.0;17.0;11.0;28.0
05/30/2017;43.0;26.0;15.0;43.0
05/31/2017;60.0;31.0;23.0;53.0
06/01/2017;60.0;36.0;23.0;60.0
06/02/2017;69.0;37.0;29.0;55.0
06/03/2017;37.0;15.0;10.0;28.0
06/04/2017;26.0;13.0;7.0;21.0
06/05/2017;50.0;22.0;16.0;31.0
06/06/2017;43.0;17.0;12.0;24.0
06/07/2017;64.0;37.0;24.0;62.0
06/08/2017;61.0;27.0;22.0;49.0
06/09/2017;68.0;31.0;25.0;58.0
06/10/2017;66.0;35.0;22.0;61.0
06/11/2017;62.0;32.0;26.0;66.0
06/12/2017;57.0;34.0;24.0;62.0
06/13/2017;60.0;28.0;15.0;59.0
06/14/2017;74.0;33.0;25.0;40.0
06/15/2017;92.0;56.0;44.0;46.0
06/16/2017;77.0;40.0;29.0;39.0
06/17/2017;55.0;39.0;23.0;36.0
06/18/2017;41.0;21.0;11.0;29.0
06/19/2017;52.0;29.0;20.0;33.0
06/20/2017;56.0;33.0;22.0;39.0
06/21/2017;72.0;44.0;27.0;63.0
06/22/2017;80.0;43.0;34.0;64.0
06/23/2017;80.0;27.0;21.0;42.0
06/24/2017;58.0;20.0;14.0;31.0
06/25/2017;50.0;32.0;19.0;45.0
06/26/2017;55.0;23.0;17.0;42.0
