fecha;estacion017;estacion036;estacion040;estacion054
10/01/2017;27.0;21.0;20.0;21.0
10/02/2017;52.0;42.0;41.0;43.0
10/03/2017;55.0;55.0;48.0;41.0
10/04/2017;39.0;44.0;36.0;32.0
10/05/2017;72.0;74.0;68.0;66.0
10/06/2017;50.0;32.0;33.0;45.0
10/07/2017;40.0;32.0;38.0;44.0
10/08/2017;67.0;59.0;51.0;55.0
10/09/2017;83.0;67.0;62.0;72.0
10/10/2017;96.0;68.0;63.0;75.0
10/11/2017;111.0;96.0;93.0;97.0
10/12/2017;94.0;69.0;74.0;79.0
10/13/2017;91.0;56.0;54.0;65.0
10/14/2017;81.0;67.0;61.0;69.0
10/15/2017;55.0;51.0;40.0;42.0
10/16/2017;42.0;46.0;36.0;41.0
10/17/2017;36.0;46.0;40.0;40.0
10/18/2017;40.0;44.0;43.0;35.0
10/19/2017;50.0;62.0;58.0
10/20/2017;47.0;50.0;53.0;42.0
10/21/2017;34.0;33.0;33.0;31.0
10/22/2017;48.0;35.0;38.0;38.0
10/23/2017;80.0;53.0;57.0;67.0
10/24/2017;84.0;59.0;58.0;66.0
10/25/2017;96.0;69.0;68.0;79.0
10/26/2017;103.0;75.0;76.0;89.0
10/27/2017;78.0;47.0;42.0;50.0
10/28/2017;52.0;32.0;31.0;37.0
10/29/2017;56.0;30.0;31.0;31.0
10/30/2017;42.0;35.0;33.0;41.0
10/31/2017;62.0;55.0;53.0;56.0
11/01/2017;63.0;51.0;45.0;49.0
11/02/2017;65.0;63.0;52.0;54.0
11/03/2017;59.0;56.0;53.0;51.0
11/04/2017;37.0;40.0;39.0;32.0
11/05/2017;43.0;29.0;31.0;34.0
11/06/2017;57.0;30.0;32.0;34.0
11/07/2017;64.0;73.0;65.0;67.0
11/08/2017;56.0;50.0;51.0;64.0
11/09/2017;33.0;19.0;21.0;29.0
11/10/2017;61.0;50.0;49.0;53.0
11/11/2017;86.0;69.0;70.0;71.0
11/12/2017;71.0;60.0;57.0;57.0
11/13/2017;48.0;34.0;38.0;50.0
11/14/2017;80.0;79.0;74.0;84.0
11/15/2017;104.0;86.0;79.0;89.0
11/16/2017;131.0;100.0;101.0;116.0
11/17/2017;136.0;92.0;97.0;110.0
11/18/2017;101.0;52.0;55.0;74.0
11/19/2017;97.0;60.0;56.0;69.0
11/20/2017;130.0;85.0;83.0;97.0
11/21/2017;148.0;91.0;90.0;108.0
11/22/2017;119.0;83.0;83.0;89.0
11/23/2017;129.0;105.0;98.0;113.0
11/24/2017;96.0;82.0;82.0;88.0
11/25/2017;62.0;57.0;56.0;56.0
11/26/2017;40.0;34.0;32.0;35.0
11/27/2017;93.0;75.0;68.0;79.0
11/28/2017;83.0;82.0;87.0;75.0
11/29/2017;47.0;44.0;45.0;50.0
11/30/2017;52.0;44.0;51.0;48.0
06/17/2017;29.0;32.0;31.0
06/18/2017;23.0;22.0;19.0
