fecha;estacion018;estacion024;estacion058;estacion060
03/08/2017;72.0;45.0;29.0;77.0
03/09/2017;80.0;52.0;26.0;67.0
03/10/2017;76.0;46.0;26.0;61.0
03/11/2017;46.0;32.0;17.0;45.0
03/12/2017;20.0;8.0;6.0;17.0
03/13/2017;14.0;7.0;2.0;11.0
03/14/2017;33.0;17.0;8.0;19.0
03/15/2017;35.0;18.0;16.0;25.0
03/16/2017;38.0;20.0;17.0;31.0
03/17/2017;56.0;32.0;17.0;42.0
03/18/2017;63.0;35.0;19.0;58.0
03/19/2017;53.0;31.0;21.0;41.0
03/20/2017;39.0;17.0;15.0;23.0
03/21/2017;26.0;9.0;9.0;26.0
03/22/2017;23.0;8.0;8.0;23.0
03/23/2017;36.0;20.0;22.0;35.0
03/24/2017;43.0;23.0;19.0;34.0
03/25/2017;47.0;29.0;13.0;39.0
03/26/2017;28.0;18.0;14.0;22.0
03/27/2017;24.0;10.0;9.0;23.0
03/28/2017;48.0;19.0;12.0;42.0
03/29/2017;59.0;36.0;19.0;55.0
03/30/2017;50.0;31.0;19.0;50.0
03/31/2017;36.0;19.0;12.0;31.0
04/01/2017;12.0;3.0;3.0;10.0
04/02/2017;22.0;9.0;7.0;13.0
04/03/2017;44.0;28.0;14.0;31.0
04/04/2017;49.0;29.0;14.0;43.0
04/05/2017;19.0;11.0;7.0;15.0
04/06/2017;32.0;16.0;11.0;23.0
04/07/2017;38.0;26.0;20.0;37.0
04/08/2017;44.0;27.0;16.0;32.0
04/09/2017;43.0;26.0;13.0;21.0
04/10/2017;51.0;25.0;15.0;35.0
04/11/2017;52.0;22.0;14.0;32.0
04/12/2017;49.0;22.0;18.0;39.0
04/13/2017;38.0;19.0;11.0;33.0
04/14/2017;25.0;10.0;9.0;21.0
04/15/2017;21.0;7.0;8.0;28.0
04/16/2017;27.0;11.0;7.0;15.0
04/17/2017;44.0;29.0;15.0;40.0
04/18/2017;27.0;15.0;11.0;18.0
04/19/2017;20.0;12.0;9.0;16.0
04/20/2017;18.0;11.0;12.0;18.0
04/21/2017;24.0;14.0;13.0;24.0
04/22/2017;33.0;16.0;13.0;26.0
04/23/2017;49.0;24.0;14.0;38.0
04/24/2017;53.0;32.0;21.0;44.0
04/25/2017;30.0;14.0;12.0;33.0
04/26/2017;16.0;7.0;8.0;16.0
04/27/2017;15.0;8.0;3.0;11.0
04/28/2017;17.0;11.0;6.0;14.0
04/29/2017;26.0;14.0;11.0;22.0
04/30/2017;17.0;9.0;5.0;16.0
05/01/2017;15.0;6.0;6.0;12.0
05/02/2017;36.0;17.0;10.0;27.0
05/03/2017;43.0;24.0;17.0;37.0
05/04/2017;66.0;44.0;26.0;52.0
05/05/2017;31.0;16.0;11.0;29.0
05/06/2017;13.0;3.0;6.0;13.0
05/07/2017;32.0;14.0;10.0;17.0
05/08/2017;42.0;20.0;14.0;29.0
05/09/2017;39.0;16.0;15.0;29.0
05/10/2017;13.0;5.0;4.0;13.0
05/11/2017;14.0;4.0;4.0;15.0
05/12/2017;21.0;10.0;6.0;20.0
05/13/2017;16.0;5.0;5.0;11.0
05/14/2017;26.0;8.0;9.0;19.0
05/15/2017;40.0;20.0;12.0;22.0
05/16/2017;53.0;26.0;19.0;30.0
05/17/2017;28.0;17.0;18.0;25.0
05/18/2017;25.0;9.0;7.0;17.0
05/19/2017;26.0;12.0;11.0;21.0
05/20/2017;39.0;20.0;13.0;23.0
05/21/2017;40.0;24.0;12.0;18.0
05/22/2017;44.0;23.0;17.0;46.0
05/23/2017;23.0;12.0;7.0;15.0
05/24/2017;37.0;19.0;17.0;28.0
05/25/2017;35.0;16.0;18.0;31.0
05/26/2017;37.0;19.0;15.0;31.0
05/27/2017;21.0;14.0;17.0;18.0
05/28/2017;13.0;7.0;8.0;11.0
05/29/2017;19.0;7.0;9.0;18.0
05/30/2017;24.0;13.0;9.0;19.0
05/31/2017;31.0;17.0;13.0;25.0
06/01/2017;34.0;17.0;13.0;27.0
06/02/2017;34.0;19.0;14.0;27.0
06/03/2017;16.0;9.0;6.0;12.0
06/04/2017;12.0;5.0;3.0;8.0
06/05/2017;18.0;10.0;10.0;20.0
06/06/2017;18.0;8.0;8.0;16.0
06/07/2017;39.0;19.0;15.0;28.0
06/08/2017;28.0;17.0;20.0;28.0
06/09/2017;35.0;22.0;34.0
06/10/2017;36.0;16.0;29.0
06/11/2017;39.0;17.0;27.0
06/12/2017;33.0;19.0;29.0
06/13/2017;28.0;13.0;16.0;29.0
06/14/2017;33.0;20.0;19.0;34.0
06/15/2017;51.0;27.0;18.0;35.0
06/16/2017;46.0;25.0;25.0;35.0
06/17/2017;38.0;18.0;10.0;18.0
