fecha;estacion011;estacion039;estacion050
05/27/2017;27.0;22.0;20.0
05/28/2017;21.0;15.0;19.0
05/29/2017;27.0;23.0;35.0
05/30/2017;30.0;21.0;29.0
05/31/2017;45.0;32.0;40.0
06/01/2017;46.0;33.0;37.0
06/02/2017;52.0;35.0;42.0
06/03/2017;22.0;15.0;23.0
06/04/2017;15.0;10.0;15.0
06/05/2017;33.0;25.0;34.0
06/06/2017;32.0;20.0;31.0
06/07/2017;47.0;40.0;40.0
06/08/2017;43.0;34.0;37.0
06/09/2017;43.0;41.0;46.0
06/10/2017;50.0;42.0;34.0
06/11/2017;46.0;40.0;30.0
06/12/2017;42.0;37.0;27.0
06/13/2017;48.0;37.0;37.0
06/14/2017;48.0;41.0;48.0
06/15/2017;63.0;55.0;60.0
06/16/2017;62.0;47.0;51.0
06/17/2017;40.0;29.0;33.0
06/18/2017;27.0;23.0;18.0
06/19/2017;41.0;32.0;31.0
06/20/2017;45.0;31.0;41.0
06/21/2017;59.0;54.0;53.0
06/22/2017;57.0;48.0;56.0
06/23/2017;35.0;41.0;54.0
06/24/2017;24.0;24.0;33.0
06/25/2017;32.0;29.0;28.0
06/26/2017;30.0;28.0;38.0
06/27/2017;31.0;29.0;40.0
06/28/2017;17.0;16.0;24.0
06/29/2017;22.0;15.0;26.0
06/30/2017;27.0;30.0
07/01/2017;10.0;8.0;13.0
07/02/2017;12.0;12.0;12.0
07/03/2017;36.0;28.0;28.0
07/04/2017;39.0;30.0;25.0
07/05/2017;36.0;27.0;31.0
07/06/2017;39.0;27.0;34.0
07/07/2017;35.0;30.0;31.0
07/08/2017;36.0;31.0;31.0
07/09/2017;40.0;36.0;34.0
07/10/2017;34.0;36.0;48.0
07/11/2017;47.0;47.0;52.0
07/12/2017;60.0;71.0;66.0
07/13/2017;62.0;66.0;62.0
07/14/2017;42.0;43.0;51.0
07/15/2017;27.0;25.0;18.0
07/16/2017;32.0;28.0;28.0
07/17/2017;45.0;44.0;44.0
07/18/2017;42.0;35.0;38.0
07/19/2017;24.0;23.0;39.0
07/20/2017;35.0;27.0;38.0
07/21/2017;31.0;28.0;44.0
07/22/2017;25.0;23.0;32.0
07/23/2017;21.0;16.0;23.0
07/24/2017;25.0;20.0;24.0
07/25/2017;18.0;12.0;19.0
07/26/2017;41.0;27.0;33.0
07/27/2017;40.0;39.0;46.0
07/28/2017;60.0;59.0;61.0
07/29/2017;56.0;51.0;54.0
07/30/2017;31.0;34.0;35.0
07/31/2017;35.0;31.0;41.0
08/01/2017;31.0;25.0;37.0
08/02/2017;39.0;33.0;39.0
08/03/2017;41.0;42.0;43.0
08/04/2017;42.0;28.0;36.0
08/05/2017;21.0;22.0;25.0
08/06/2017;10.0;13.0;18.0
08/07/2017;22.0;20.0;29.0
08/08/2017;21.0;14.0;22.0
08/09/2017;16.0;12.0;18.0
08/10/2017;11.0;9.0;12.0
08/11/2017;21.0;14.0;17.0
08/12/2017;24.0;25.0;20.0
08/13/2017;30.0;30.0;20.0
08/14/2017;27.0;21.0;17.0
08/15/2017;12.0;12.0;18.0
08/16/2017;44.0;30.0;33.0
08/17/2017;39.0;29.0;29.0
08/18/2017;47.0;37.0;42.0
08/19/2017;19.0;15.0;13.0
08/20/2017;17.0;14.0;13.0
08/21/2017;33.0;25.0;24.0
08/22/2017;30.0;20.0;31.0
08/23/2017;46.0;37.0;47.0
08/24/2017;36.0;30.0;38.0
08/25/2017;39.0;31.0;45.0
08/27/2017;17.0;11.0;16.0
08/28/2017;34.0;19.0;31.0
08/29/2017;26.0;18.0;28.0
08/30/2017;30.0;21.0;33.0
08/31/2017;24.0;14.0;26.0
09/01/2017;17.0;13.0;16.0
09/02/2017;34.0;21.0;21.0
09/03/2017;41.0;40.0;31.0
09/04/2017;30.0;21.0;18.0
09/05/2017;52.0;37.0;26.0
09/06/2017;41.0;22.0
09/07/2017;23.0;12.0;9.0
09/08/2017;48.0;26.0;21.0
09/09/2017;23.0;7.0;11.0
09/10/2017;19.0;9.0;9.0
09/11/2017;33.0;23.0;15.0
09/12/2017;35.0;25.0;14.0
09/13/2017;61.0;57.0;24.0
09/14/2017;56.0;59.0;23.0
09/15/2017;14.0;14.0;7.0
09/16/2017;20.0;18.0;9.0
09/17/2017;29.0;42.0;14.0
09/18/2017;41.0;41.0;19.0
09/19/2017;59.0;55.0;20.0
09/20/2017;71.0;66.0;23.0
09/21/2017;72.0;79.0;28.0
09/22/2017;39.0;47.0;13.0
09/23/2017;48.0;45.0;16.0
09/24/2017;53.0;61.0;21.0
09/25/2017;44.0;52.0;36.0
09/26/2017;41.0;42.0;36.0
09/27/2017;65.0;74.0;62.0
09/28/2017;84.0;85.0;74.0
09/29/2017;71.0;78.0;70.0
09/30/2017;58.0;64.0;55.0
10/01/2017;16.0;17.0
10/02/2017;38.0;37.0
10/03/2017;58.0;59.0;53.0
10/04/2017;52.0;55.0;37.0
10/05/2017;82.0;89.0;71.0
10/06/2017;36.0;41.0;31.0
10/07/2017;54.0;48.0;35.0
10/08/2017;68.0;70.0;57.0
10/09/2017;72.0;76.0;53.0
10/10/2017;92.0;79.0;66.0
10/11/2017;102.0;103.0;87.0
10/12/2017;84.0;92.0;59.0
10/13/2017;61.0;71.0;55.0
10/14/2017;77.0;77.0;62.0
10/15/2017;40.0;50.0;32.0
10/16/2017;58.0;59.0;42.0
10/17/2017;57.0;57.0;51.0
10/18/2017;49.0;45.0;49.0
10/19/2017;58.0;47.0;58.0
10/20/2017;62.0;50.0;52.0
10/21/2017;44.0;39.0;40.0
10/22/2017;37.0;40.0;27.0
10/23/2017;79.0;65.0;49.0
10/24/2017;81.0;75.0;61.0
10/25/2017;91.0;82.0;76.0
10/26/2017;107.0;92.0;80.0
10/27/2017;45.0;53.0;40.0
10/28/2017;33.0;40.0;25.0
10/29/2017;35.0;36.0;26.0
