fecha;estacion008;estacion011;estacion039;estacion047;estacion049;estacion050;estacion056
03/21/2017;50.0;29.0;27.0;25.0;19.0;35.0;27.0
03/22/2017;50.0;27.0;26.0;22.0;17.0;34.0;24.0
03/23/2017;52.0;48.0;35.0;34.0;29.0;44.0;41.0
03/24/2017;58.0;47.0;34.0;46.0;34.0;40.0;53.0
03/25/2017;57.0;52.0;41.0;48.0;37.0;44.0;55.0
03/26/2017;36.0;31.0;23.0;19.0;14.0;23.0;39.0
03/27/2017;50.0;30.0;30.0;26.0;18.0;41.0;28.0
03/28/2017;69.0;46.0;44.0;57.0;34.0;43.0;59.0
03/29/2017;79.0;62.0;60.0;62.0;47.0;52.0;70.0
03/30/2017;79.0;55.0;60.0;50.0;45.0;49.0;60.0
03/31/2017;66.0;38.0;35.0;43.0;28.0;40.0;44.0
04/01/2017;44.0;20.0;14.0;14.0;9.0;20.0;15.0
04/02/2017;39.0;21.0;16.0;23.0;16.0;16.0;32.0
04/03/2017;56.0;39.0;41.0;43.0;26.0;27.0;55.0
04/04/2017;71.0;47.0;49.0;53.0;39.0;33.0;62.0
04/05/2017;42.0;20.0;17.0;26.0;16.0;38.0
04/06/2017;51.0;28.0;28.0;38.0;21.0;27.0;56.0
04/07/2017;54.0;40.0;40.0;34.0;28.0;35.0;55.0
04/08/2017;52.0;40.0;37.0;34.0;21.0;33.0
04/09/2017;44.0;25.0;26.0;28.0;16.0;20.0;58.0
04/10/2017;57.0;42.0;43.0;42.0;27.0;38.0;65.0
04/11/2017;66.0;46.0;36.0;55.0;36.0;44.0;67.0
04/12/2017;71.0;46.0;51.0;47.0;31.0;52.0;58.0
04/13/2017;69.0;37.0;49.0;44.0;37.0;42.0;47.0
04/14/2017;57.0;31.0;38.0;32.0;25.0;31.0;30.0
04/15/2017;47.0;30.0;26.0;27.0;19.0;28.0;31.0
04/16/2017;38.0;27.0;24.0;26.0;14.0;24.0;38.0
