fecha;estacion004;estacion008;estacion011;estacion035;estacion038;estacion039;estacion047;estacion048;estacion049;estacion050
01/31/2017;59.0;63.0;48.0;56.0;53.0;48.0;63.0;45.0;42.0;43.0
02/01/2017;93.0;71.0;64.0;60.0;63.0;62.0;61.0;57.0;46.0;61.0
02/02/2017;48.0;55.0;46.0;42.0;38.0;43.0;37.0;46.0;31.0;49.0
02/03/2017;28.0;46.0;30.0;31.0;25.0;27.0;23.0;37.0;24.0;38.0
02/04/2017;16.0;28.0;13.0;18.0;11.0;11.0;10.0;20.0;13.0;20.0
02/05/2017;14.0;31.0;15.0;21.0;12.0;10.0;9.0;15.0;10.0;18.0
02/06/2017;29.0;52.0;33.0;35.0;27.0;27.0;24.0;32.0;21.0;36.0
02/07/2017;43.0;56.0;40.0;41.0;33.0;32.0;36.0;39.0;27.0;42.0
02/08/2017;51.0;61.0;44.0;53.0;49.0;37.0;49.0;38.0;33.0;43.0
02/09/2017;80.0;85.0;81.0;68.0;73.0;75.0;67.0;73.0;60.0;74.0
02/10/2017;94.0;73.0;58.0;63.0;64.0;59.0;67.0;56.0;56.0;54.0
02/11/2017;55.0;56.0;30.0;53.0;51.0;31.0;48.0;25.0;35.0;34.0
02/12/2017;51.0;50.0;34.0;45.0;36.0;35.0;35.0;35.0;27.0;31.0
02/13/2017;29.0;48.0;31.0;32.0;26.0;31.0;28.0;36.0;37.0
02/14/2017;55.0;67.0;54.0;57.0;54.0;48.0;54.0;52.0;40.0;48.0
02/15/2017;60.0;63.0;43.0;55.0;51.0;48.0;54.0;38.0;35.0;41.0
02/16/2017;62.0;68.0;55.0;61.0;59.0;55.0;59.0;46.0;42.0;48.0
02/17/2017;68.0;74.0;55.0;67.0;64.0;61.0;67.0;52.0;47.0;57.0
02/18/2017;63.0;79.0;67.0;66.0;68.0;63.0;65.0;62.0;53.0;62.0
02/19/2017;35.0;50.0;32.0;47.0;39.0;29.0;40.0;25.0;29.0;30.0
02/20/2017;55.0;60.0;44.0;59.0;52.0;43.0;56.0;35.0;34.0;40.0
02/21/2017;63.0;72.0;51.0;70.0;65.0;56.0;67.0;46.0;48.0;48.0
02/22/2017;78.0;80.0;59.0;74.0;75.0;70.0;81.0;51.0;56.0;54.0
02/23/2017;73.0;72.0;57.0;68.0;68.0;58.0;73.0;52.0;51.0;58.0
02/24/2017;51.0;64.0;49.0;55.0;53.0;42.0;51.0;42.0;38.0;48.0
02/25/2017;51.0;65.0;52.0;52.0;49.0;45.0;48.0;50.0;36.0;53.0
02/26/2017;38.0;53.0;36.0;41.0;34.0;40.0;37.0;38.0;30.0;39.0
02/27/2017;21.0;45.0;24.0;26.0;22.0;24.0;23.0;29.0;15.0;35.0
02/28/2017;21.0;50.0;26.0;29.0;24.0;27.0;24.0;33.0;18.0;35.0
03/01/2017;40.0;61.0;42.0;42.0;38.0;43.0;45.0;45.0;31.0;52.0
03/02/2017;57.0;71.0;69.0;53.0;60.0;67.0;60.0;59.0;40.0;63.0
03/03/2017;41.0;69.0;56.0;48.0;50.0;55.0;44.0;55.0;40.0;51.0
03/04/2017;22.0;41.0;24.0;26.0;21.0;23.0;18.0;27.0;13.0;29.0
03/05/2017;21.0;42.0;19.0;25.0;19.0;21.0;18.0;27.0;14.0;28.0
03/06/2017;30.0;57.0;36.0;34.0;31.0;29.0;26.0;35.0;20.0;39.0
03/07/2017;46.0;60.0;41.0;45.0;39.0;34.0;36.0;36.0;24.0;43.0
03/08/2017;77.0;97.0;88.0;71.0;85.0;90.0;76.0;81.0;65.0;76.0
03/09/2017;81.0;110.0;91.0;79.0;99.0;86.0;80.0;84.0;68.0;75.0
03/10/2017;80.0;93.0;65.0;80.0;88.0;79.0;81.0;67.0;59.0;63.0
03/11/2017;52.0;77.0;53.0;59.0;59.0;57.0;49.0;57.0;46.0;49.0
03/12/2017;30.0;37.0;22.0;31.0;23.0;19.0;24.0;17.0;13.0;20.0
03/13/2017;18.0;34.0;15.0;30.0;27.0;12.0;23.0;10.0;13.0;17.0
03/14/2017;33.0;51.0;23.0;43.0;38.0;23.0;37.0;20.0;25.0;21.0
